;;;;;;;;;;;;;;;;;;;;;;;
;DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;;; VOLUME TOTAL (R$) ;;;
;NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS;;ANO;IPO;FOLLOW-ON;TOTAL
;CCR RODOVIAS;NM;Exploração de Rodovias;UBS;FOLLOW-ON;ICVM 400;26/04/2004;R$ 23,50;27/04/04; 1.010 ; 1.514 ; 375.000.005 ; - ; 375.000.005 ;7%;18%;75%;1%;;2004; 4.487.065.024 ; 4.317.579.322 ; 8.804.644.346 
;NATURA;NM;Prod. de Uso Pessoal;UBS;IPO;ICVM 400;24/05/2004;R$ 36,50;26/05/04; 4.376 ; 5.460 ; - ; 768.120.637 ; 768.120.637 ;14%;15%;67%;4%;;2005; 5.447.335.660 ; 8.488.868.795 ; 13.936.204.455 
;GOL;N2;Transporte Aéreo;Morgan Stanley;IPO;ICVM 400;23/06/2004;R$ 26,57;24/06/04; 11.274 ; 12.380 ; 498.187.500 ; 379.951.000 ; 878.138.500 ;10%;13%;75%;1%;;2006; 15.373.613.634 ; 15.062.683.258 ; 30.436.296.892 
;ALL AMER LAT;N2;Transporte Ferroviário;Pactual;IPO;ICVM 400;23/06/2004;R$ 46,50;25/06/04; 3.275 ; 4.198 ; 267.375.000 ; 320.850.000 ; 588.225.000 ;8%;20%;71%;1%;;2007; 55.648.186.085 ; 14.464.732.433 ; 70.112.918.518 
;WEG;N1;Motores, Compressores e Outros;Bradesco BBI;FOLLOW-ON;ICVM 400;03/09/2004;R$ 7,20;06/09/04; 5.130 ; 5.708 ; - ; 319.384.800 ; 319.384.800 ;30%;24%;41%;5%;;2008; 7.494.941.362 ; 26.760.549.835 ; 34.255.491.197 
;BRASKEM;N1;Petroquímicos;Unibanco;FOLLOW-ON;ICVM 400;22/09/2004;R$ 0,09;24/09/04; 2.287 ; 2.737 ; 1.210.950.000 ; - ; 1.210.950.000 ;5%;21%;74%;1%;;2009; 23.831.458.391 ; 22.151.816.327 ; 45.983.274.718 
;CPFL ENERGIA;NM;Energia Elétrica;Merrill Lynch;IPO;ICVM 400;28/09/2004;R$ 17,22;29/09/04; 2.661 ; 3.271 ; 684.649.515 ; 136.312.659 ; 820.962.174 ;7%;22%;69%;1%;;2010; 11.193.373.738 ; 138.047.959.152 ; 149.241.332.889 
;GRENDENE;NM;Calçados;Pactual;IPO;ICVM 400;27/10/2004;R$ 31,00;29/10/04; 7.745 ; 8.998 ; - ; 616.900.000 ; 616.900.000 ;16%;19%;64%;1%;;2011; 7.175.095.457 ; 10.814.789.923 ; 17.989.885.380 
;SABESP;NM;Água e Saneamento;Unibanco;FOLLOW-ON;ICVM 400;28/10/2004;R$ 0,11;29/10/04; 89 ; 361 ; - ; 687.986.985 ; 687.986.985 ;1%;17%;81%;0%;;2012; 3.932.950.736 ; 9.307.533.492 ; 13.240.484.228 
;DASA;NM;Serv. Méd. Hospit., Análises e Diagnósticos;UBS;IPO;ICVM 400;17/11/2004;R$ 20,00;19/11/04; 2.815 ; 3.482 ; 126.136.300 ; 311.247.720 ; 437.384.020 ;9%;22%;68%;1%;;2013; 17.293.349.990 ; 6.066.116.253 ; 23.359.466.243 
;PORTO SEGURO;NM;Seguradoras;Pactual;IPO;ICVM 400;18/11/2004;R$ 18,75;22/11/04; 5.757 ; 6.499 ; 129.022.800 ; 248.311.894 ; 377.334.694 ;8%;19%;71%;2%;;2014; 417.980.763 ; 13.959.899.999 ; 14.377.880.762 
;GERDAU;N1;Siderurgia;Pactual;FOLLOW-ON;ICVM 400;09/12/2004;R$ 40,00;09/12/04; 169 ; 250 ; - ; 412.805.170 ; 412.805.170 ;5%;14%;79%;3%;;2015; 602.800.014 ; 17.461.217.465 ; 18.064.017.479 
;GERDAU MET;N1;Siderurgia;Pactual;FOLLOW-ON;ICVM 400;09/12/2004;R$ 55,00;09/12/04; 66 ; 119 ; - ; 88.266.090 ; 88.266.090 ;13%;53%;28%;6%;;2016; 674.197.600 ; 9.966.649.298 ; 10.640.846.898 
;BRADESPAR;N1;Holdings Diversificadas;Credit Suisse;FOLLOW-ON;ICVM 400;14/12/2004;R$ 77,00;15/12/04; 315 ; 737 ; 1.044.546.272 ; - ; 1.044.546.272 ;3%;16%;66%;15%;;2017; 20.760.529.289 ; 21.020.386.288 ; 41.780.915.577 
;SUZANO PETR;N2;Petroquímicos;Itaú BBA;FOLLOW-ON;ICVM 400;16/12/2004;R$ 5,80;17/12/04; 4.680 ; 5.284 ; 31.900.000 ; 146.740.000 ; 178.640.000 ;18%;46%;35%;1%;;2018; 6.823.344.095 ; 4.429.700.000 ; 11.253.044.095 
;UNIBANCO;N1;Bancos;Unibanco;FOLLOW-ON;ICVM 400;31/01/2005;R$ 15,65;31/01/05; 1.402 ; 2.064 ; - ; 718.294.107 ; 718.294.107 ;9%;32%;57%;2%;;2019; 9.836.302.565 ; 79.762.980.683 ; 89.599.283.248 
;RENAR;NM;Alimentos Diversos;Elite;IPO;ICVM 400;10/08/2004;R$ 1,60;28/02/05; 1.589 ; 1.781 ; 16.000.000 ; - ; 16.000.000 ;87%;1%;5%;7%;;2020; 43.925.413.832 ; 73.962.720.930 ; 117.888.134.762 
;ALL AMER LAT;N2;Transporte Ferroviário;Pactual;FOLLOW-ON;ICVM 400;22/03/2005;R$ 72,50;23/03/05; 1.167 ; 1.540 ; - ; 644.865.678 ; 644.865.678 ;9%;11%;80%;0%;;2021; 65.668.660.563 ; 64.844.099.967 ; 130.512.760.530 
;SUBMARINO;NM;Produtos Diversos;Credit Suisse;IPO;ICVM 400;29/03/2005;R$ 21,62;30/03/05; 3.969 ; 4.368 ; 135.125.000 ; 337.812.500 ; 472.937.500 ;9%;23%;65%;2%;;2022; - ; 11.529.666.294 ; 11.529.666.294 
;ULTRAPAR;BÁSICO;Holdings Diversificadas;UBS;FOLLOW-ON;ICVM 400;12/04/2005;R$ 0,04;13/04/05; 1.466 ; 1.817 ; 47.218.028 ; 314.786.853 ; 362.004.881 ;8%;14%;75%;3%;;;;;
;GOL;N2;Transporte Aéreo;Santander;FOLLOW-ON;ICVM 400;27/04/2005;R$ 35,12;28/04/05; 2.379 ; 2.598 ; 271.330.482 ; 322.373.118 ; 593.703.600 ;5%;15%;79%;1%;;;;;
;LOCALIZA;NM;Aluguel de Carros;Credit Suisse;IPO;ICVM 400;19/05/2005;R$ 11,50;23/05/05; 785 ; 958 ; - ; 264.802.738 ; 264.802.738 ;8%;4%;87%;1%;;;;;
;TAM S/A;N2;Transporte Aéreo;Pactual;IPO;ICVM 400;13/06/2005;R$ 18,00;14/06/05; 1.171 ; 1.647 ; 383.942.160 ; 164.546.640 ; 548.488.800 ;9%;16%;74%;1%;;;;;
;AES TIETE;BÁSICO;Energia Elétrica;Credit Suisse;FOLLOW-ON;ICVM 400;14/06/2005;R$ 0,04;15/06/05; 657 ; 1.139 ; - ; 1.059.840.084 ; 1.059.840.084 ;2%;18%;80%;0%;;;;;
